item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacedBy,nature,natureLabel,source,sourceName,statedName,psid
Q1699943,John Edwards,Q5333410,Economic Secretary to the Treasury,1950-02-01,1951-01-01,,,,Q5301661,Q333275,,,,,,Q1699943-008EBDEF-1EA4-4D15-BF17-7A0FE2AA17F4
Q15493870,John Ernle,Q531471,Chancellor of the Exchequer,1676-05-02,1689-04-06,,,,,,,,,,,Q15493870-75856cb1-4682-bf6d-2d10-d00280d06f5b
Q936913,"John Erskine, 22nd Earl of Mar",Q111784,Secretary of State for Scotland,1707-05-01,1709-02-03,,,,,Q335636,,,,,,Q936913-B4B042E9-D924-4BB3-9C08-AFE5484F2B8E
Q936913,"John Erskine, 22nd Earl of Mar",Q111784,Secretary of State for Scotland,1713-09-30,1714-09-24,,,,Q335636,Q2585405,,,,,,Q936913-63FE550B-53D9-4087-8102-1272CBF9A19E
Q5949661,"John Fane, 10th Earl of Westmorland",Q910308,Lord Privy Seal,1798-01-01,1806-01-01,,,,Q335642,Q312577,,,,,,Q5949661-3A71F107-EB41-4ECB-9E98-17BD4C4F001A
Q5949661,"John Fane, 10th Earl of Westmorland",Q910308,Lord Privy Seal,1807-01-01,1827-01-01,,,,Q723938,Q128336,,,,,,Q5949661-07bbd4b2-42be-fb7d-b8b0-67b89119411f
Q6233772,John Fountaine,Q217217,Lord Chancellor,,,,,,,,,,,,,Q6233772-a148036b-7723-414f-ac3e-a055f05588f9
Q335713,"John Ganzoni, 2nd Baron Belstead",Q2012061,Leader of the House of Lords,1988-01-10,1990-11-28,,,,Q333963,Q334565,,,,,,Q335713-5C0E37F8-EF33-49A1-8C92-4A08DFB60024
Q335713,"John Ganzoni, 2nd Baron Belstead",Q910308,Lord Privy Seal,1988-01-10,1990-11-28,,,,Q334298,Q334565,,,,,,Q335713-95C1D672-A0F2-488E-AA45-B43610B45B8C
Q335713,"John Ganzoni, 2nd Baron Belstead",Q1060844,Paymaster General,,,,,,,,,,,,,Q335713-4D647A19-2A45-491D-BA54-6ED5056A4B72
Q338252,"John George Dodson, 1st Baron Monk Bretton",Q162754,Chancellor of the Duchy of Lancaster,1882-12-28,1884-10-29,,,,Q335342,Q333808,,,,,,Q338252-43022F40-5410-4CED-BE47-4C94E2A7FD45
Q338252,"John George Dodson, 1st Baron Monk Bretton",Q5449647,Financial Secretary to the Treasury,1873-08-11,1874-01-01,,,,Q8008421,Q176472,,,,,,Q338252-24AA5FA2-0506-4EC1-B221-8301982AE265
Q1700212,"John Gilbert, Baron Gilbert",Q5449647,Financial Secretary to the Treasury,1974-03-08,1975-06-17,,,,Q333439,Q2158815,,,,,,Q1700212-DAF7FD05-907B-40B9-8268-2C5F09EA0789
Q1700212,"John Gilbert, Baron Gilbert",Q15109454,Minister of State for Transport,,,,,,,,,,,,,Q1700212-D92FE7BE-7323-4060-85DF-6651ECB7DC1E
Q391465,John Glen,Q5333410,Economic Secretary to the Treasury,2018-01-09,,,,,Q260546,,,,,,,Q391465-D5CA986C-349A-405A-9689-35DDAF636297
Q391465,John Glen,Q85792279,"Parliamentary Under Secretary of State for Arts, Heritage and Tourism",2017-06-14,2018-01-09,,,,Q291557,Q303085,,,,,,Q391465-13BEC58E-F2D1-416B-B957-30529B94A61E
Q5765264,John Gorst,Q5449647,Financial Secretary to the Treasury,1891-11-09,1892-08-11,,,,Q8013386,Q6107186,,,,,,Q5765264-1C77492F-9D46-49EB-97CC-3A30CAFFAC1A
Q5765264,John Gorst,Q3477306,Secretary of State for Education,1895-07-04,1902-08-08,,,,Q606299,Q334063,,,,,,Q5765264-AD8296D5-E26C-4857-AB6D-A30F551445A6
Q333635,John Gummer,Q6866025,"Minister of Agriculture, Fisheries and Food",1989-07-24,1993-05-27,,,,Q332940,Q333058,,,,,,Q333635-97A304BF-6714-41BE-ACDF-799809F2A60C
Q333635,John Gummer,Q4122313,Secretary of State for the Environment,1993-05-27,1997-05-02,,,,Q325381,Q332393,,,,,,Q333635-6C6E6A87-8BAE-4A99-AD47-01AC2A1CEE82
Q6237766,"John Hare, 1st Viscount Blakenham",Q162754,Chancellor of the Duchy of Lancaster,1963-10-20,1964-10-16,,,,Q333182,Q5301612,,,,,,Q6237766-48186555-F65F-412D-9220-3685E8269B81
Q11727899,"John Hay, 4th Marquess of Tweeddale",Q111784,Secretary of State for Scotland,1742-02-16,1746-01-03,,,,Q603499,Q333488,,,,,,Q11727899-1441CDC8-17E5-40FD-A0D6-BCA84CB77D60
Q478686,John Hayes,Q61412205,Minister without Portfolio,2013-03-28,2014-07-15,,,,Q336455,Q392375,,,,,,Q478686-97CA85A0-120A-4350-B2B0-DC28E8F64E4D
Q615077,John Healey,Q5333410,Economic Secretary to the Treasury,2002-12-15,2005-05-06,,,,Q272644,Q260464,,,,,,Q615077-35DA4A7C-B5E0-48D9-A761-665E7D5D46B3
Q615077,John Healey,Q5449647,Financial Secretary to the Treasury,2005-05-06,2007-06-28,,,,Q272346,Q6152441,,,,,,Q615077-FEE4F0F0-F18C-4026-8C9C-3AE17BAA8604
Q615077,John Healey,Q6866346,Minister of State for Communities and Local Government,2009-06-05,2010-05-11,,,,Q232639,Q478596,,,,,,Q615077-A8B5A4FC-A179-4EFE-8DB0-120E04F96DC8
Q1006241,"John Hervey, 2nd Baron Hervey",Q910308,Lord Privy Seal,1740-04-07,1742-07-13,,,,Q716347,Q336200,,,,,,Q1006241-858D78EA-BF95-4167-9278-6316BD77121A
Q6262813,John Hills,Q5449647,Financial Secretary to the Treasury,1922-11-06,1923-01-01,,,,Q9292296,Q4786226,,,,,,Q6262813-52CC32E2-BD8D-469E-B78C-55A0F7F045C4
Q3181562,John Hobson,Q2631987,Attorney General for England and Wales,1962-07-16,1964-10-16,,,,Q2271478,Q332851,,,,,,Q3181562-E33112ED-DC0E-47CF-8012-69F3145899E3
Q6239576,John Holker,Q2631987,Attorney General for England and Wales,1875-11-25,1880-04-21,,,,Q7323902,Q11708915,,,,,,Q6239576-45F49FE1-7666-45B1-8FC8-46FB608A7148
Q6239616,"John Holles, 1st Duke of Newcastle",Q910308,Lord Privy Seal,1705-01-01,1711-01-01,,,,Q2736244,Q3951793,,,,,,Q6239616-ba65bcdd-4073-e2c1-318a-76616b2019a7
Q335178,"John Hope, 1st Marquess of Linlithgow",Q111784,Secretary of State for Scotland,1905-02-02,1905-12-04,,,,Q1844725,Q11727985,,,,,,Q335178-BF1ED6D2-AFFD-427B-B170-4073DAC47FFC
Q332562,"John Hutton, Baron Hutton of Furness",Q162754,Chancellor of the Duchy of Lancaster,2005-05-06,2005-11-02,,,,Q333459,,,,,,,Q332562-BC66924B-0010-4E8F-801C-C735F8FBB1D3
Q332562,"John Hutton, Baron Hutton of Furness",Q6865995,Minister for the Cabinet Office,,,,,,,,,,,,,Q332562-35696223-1486-4C31-AF43-A9D1305DFFB6
Q332562,"John Hutton, Baron Hutton of Furness",Q23304196,Minister of State for Health,,,,,,,,,,,,,Q332562-f07f79c5-497d-5e47-96b4-7a3dbfecaf8a
Q332562,"John Hutton, Baron Hutton of Furness",Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",2007-06-28,2008-10-03,,,,,,,,,,,Q332562-19129BBB-0C95-49E9-A61D-AF4F9B417755
Q332562,"John Hutton, Baron Hutton of Furness",Q2747647,Secretary of State for Defence,2008-10-03,2009-06-05,,,,Q332587,Q258738,,,,,,Q332562-4861F361-3A4B-4289-A526-263119B1BA8F
Q6241844,"John Jestyn Llewellin, 1st Baron Llewellin",Q6866042,Minister of Aircraft Production,1942-01-01,1942-01-01,,,,Q336729,Q332405,,,,,,Q6241844-2895709C-0E36-42F6-BAB4-473180E53BE5
Q6223903,John Karslake,Q2631987,Attorney General for England and Wales,1867-07-18,1868-12-01,,,,Q6255522,Q7343038,,,,,,Q6223903-FF2DC7ED-F073-4C22-B8D0-FDB5F31552D5
Q6223903,John Karslake,Q2631987,Attorney General for England and Wales,1874-02-27,1874-04-20,,,,Q11708915,Q7323902,,,,,,Q6223903-C61147B6-5BC5-4F4A-9BB8-8CA66CACCB38
Q603499,"John Ker, 1st Duke of Roxburghe",Q111784,Secretary of State for Scotland,1716-12-13,1725-08-01,,,,Q2585405,Q11727899,,,,,,Q603499-5BEAB686-1CC9-45AA-B74B-F2F143634709
Q336437,"John Lambton, 1st Earl of Durham",Q910308,Lord Privy Seal,1830-11-22,1833-03-01,,,,Q2022932,Q312591,,,,,,Q336437-3F539AFE-CD16-437F-AA03-8F52F923071C
Q6244227,John Lawson Walton,Q2631987,Attorney General for England and Wales,1905-12-12,1908-01-28,,,,Q332700,Q1766011,,,,,,Q6244227-D77C0434-2CDE-484B-BC68-045A2C710FD2
Q336200,"John Leveson-Gower, 1st Earl Gower",Q910308,Lord Privy Seal,1742-01-01,1743-01-01,,,,Q1006241,Q5537888,,,,,,Q336200-d5e5e970-4944-b6fb-a22e-6d63fcdba6d8
Q336200,"John Leveson-Gower, 1st Earl Gower",Q910308,Lord Privy Seal,1744-01-01,1755-01-01,,,,Q5537888,Q514460,,,,,,Q336200-c639f333-4bf0-2246-f641-d85f65f54867
Q3809418,John Lexington,Q217217,Lord Chancellor,,,,,,,,,,,,,Q3809418-ff62cdba-67c1-4c21-93d9-88bd0cf2a60d
Q6245447,"John Lowther, 1st Viscount Lonsdale",Q910308,Lord Privy Seal,1699-01-01,1700-01-01,,,,Q334112,Q5467797,,,,,,Q6245447-6d217ede-4099-7f3d-d492-74423cde99e2
Q332940,"John MacGregor, Baron MacGregor of Pulham Market",Q5096927,Chief Secretary to the Treasury,1985-09-02,1987-06-13,,,,Q336515,Q9559,,,,,,Q332940-8298F1E8-1A2D-448A-B67C-F06A43EA41E8
Q332940,"John MacGregor, Baron MacGregor of Pulham Market",Q2636053,Leader of the House of Commons,1990-11-02,1992-04-11,,,,Q332323,Q333068,,,,,,Q332940-6E39BE24-EA88-416B-BAE9-F830F9A132E8
Q332940,"John MacGregor, Baron MacGregor of Pulham Market",Q6866025,"Minister of Agriculture, Fisheries and Food",1987-06-13,1989-07-24,,,,Q332875,Q333635,,,,,,Q332940-FBB7CAE7-3634-4E78-9FD5-3987DC7359C5
Q332940,"John MacGregor, Baron MacGregor of Pulham Market",Q3477306,Secretary of State for Education,1989-07-24,1990-11-02,,,,Q333390,Q271889,,,,,,Q332940-21239210-5C89-4A00-9EC8-D19E5D4DC377
Q332940,"John MacGregor, Baron MacGregor of Pulham Market",Q3246797,Secretary of State for Transport,1992-04-11,1994-07-20,,,,Q333487,Q333410,,,,,,Q332940-D1E49200-537A-4B69-9A36-B6BE6C70BE4B
Q6246107,"John MacKay, Baron MacKay of Ardbrecknish",Q7883048,Parliamentary Under-Secretary of State for Scotland,,,,,,,,,,,,,Q6246107-0427EEA7-EF03-457C-915C-95D11FB2C181
Q6246292,"John Maclay, 1st Viscount Muirshiel",Q111784,Secretary of State for Scotland,1957-01-13,1962-07-13,,,,Q6143784,Q6833078,,,,,,Q6246292-4C108C5E-BD16-40FF-8F05-D5E754BACA25
Q6246292,"John Maclay, 1st Viscount Muirshiel",Q3246797,Secretary of State for Transport,1951-10-31,1952-05-07,,,,Q4722296,Q4707145,,,,,,Q6246292-407BCFC5-DB0C-446E-B086-4765FC9AF24C
Q9559,John Major,Q531471,Chancellor of the Exchequer,1989-10-26,1990-11-28,,,,Q335078,Q332546,,,,,,Q9559-06CF993B-2B3F-493E-BA02-B33D8CE43A43
Q9559,John Major,Q5096927,Chief Secretary to the Treasury,1987-06-13,1989-07-24,,,,Q332940,Q332546,,,,,,Q9559-DB795926-05B8-4226-8ABA-4132C81C6BD5
Q9559,John Major,Q609884,First Lord of the Treasury,1990-11-28,1997-05-02,,,,Q7416,,,,,,,Q9559-DE0CE1AD-1921-4C63-80D4-F7EBF95B2CB8
Q9559,John Major,Q3315116,Minister for the Civil Service,1990-11-28,1997-05-02,,,,,,,,,,,Q9559-99F0CD8E-2421-4B9E-9F74-772657260B76
Q9559,John Major,Q14211,Prime Minister of the United Kingdom,1990-11-28,1997-05-02,,,72,Q7416,Q9545,,,,,,Q9559-82AFCD9B-34C7-4328-A6ED-137E532CFC90
Q9559,John Major,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1989-07-24,1989-10-26,,,,Q332323,Q337375,,,,,,Q9559-83346E88-5A1F-4902-B574-374B6BFC9371
Q2086683,"John Manners, 7th Duke of Rutland",Q162754,Chancellor of the Duchy of Lancaster,1886-08-16,1892-08-11,,,,Q5527395,Q336497,,,,,,Q2086683-1F15D1FD-EB93-4C33-95A4-9409A9ADFCD7
Q2086683,"John Manners, 7th Duke of Rutland",Q3397406,Secretary of State for Health and Social Care,1852-03-04,1852-12-17,,,,Q3719921,Q5991023,,,,,,Q2086683-9C88AD88-AD97-4041-A072-FC6ECE293BCC
Q333007,"John Maples, Baron Maples",Q5333410,Economic Secretary to the Treasury,1989-10-26,1992-04-09,,,,Q2150490,Q4773176,,,,,,Q333007-DA420C6F-8CF6-4C3D-BD80-C0D809BAE7E9
Q3809463,John Maunsell,Q217217,Lord Chancellor,,,,,,,,,,,,,Q3809463-2ab6f894-dfff-489c-9410-b8a5bffa2850
Q93557,"John Moore, Baron Moore of Lower Marsh",Q5333410,Economic Secretary to the Treasury,1983-06-13,1983-10-19,,,,Q6207286,Q1474995,,,,,,Q93557-4DE8F24E-0804-40D4-85CB-59B5231B791D
Q93557,"John Moore, Baron Moore of Lower Marsh",Q5449647,Financial Secretary to the Treasury,1983-10-19,1986-05-21,,,,Q324805,Q332546,,,,,,Q93557-A41CD32C-EAB7-42AA-9A73-CA5E7D3405DE
Q93557,"John Moore, Baron Moore of Lower Marsh",Q3397406,Secretary of State for Health and Social Care,1987-06-13,1988-07-25,,,,Q332919,Q271889,,,,,,Q93557-F763A929-279B-415A-9F61-7F00CAD58943
Q93557,"John Moore, Baron Moore of Lower Marsh",Q4122328,Secretary of State for Health and Social Services,1987-06-13,1988-07-25,,,,Q332919,Q7444357,,,,,,Q93557-4A60931A-19E7-47C6-A947-22137D65503E
Q93557,"John Moore, Baron Moore of Lower Marsh",Q3246797,Secretary of State for Transport,1986-05-21,1987-06-13,,,,Q324805,Q3069915,,,,,,Q93557-709FCAD3-7747-4048-BD64-158DE3828E77
Q93557,"John Moore, Baron Moore of Lower Marsh",Q7444357,Secretary of State for Work and Pensions,1988-07-25,1989-07-23,,,,,Q333068,,,,,,Q93557-74909AD5-FA98-4B53-8B54-B4DA3DF83856
Q336729,"John Moore-Brabazon, 1st Baron Brabazon of Tara",Q3246797,Secretary of State for Transport,1940-10-03,1941-05-01,,,,Q320851,Q5498257,,,,,,Q336729-4998AAAC-7E5F-4B78-9310-C00562439236
Q333519,"John Morley, 1st Viscount Morley of Blackburn",Q943379,Lord President of the Council,1910-11-07,1914-08-05,,,,Q2470852,Q2470852,,,,,,Q333519-EE94B481-5155-4945-80F1-5E44FF181265
Q333932,"John Morris, Baron Morris of Aberavon",Q2631987,Attorney General for England and Wales,1997-05-02,1999-07-29,,,,Q334638,Q325417,,,,,,Q333932-514846B6-880D-457E-8584-927BFD6296EF
Q333932,"John Morris, Baron Morris of Aberavon",Q1846384,Secretary of State for Wales,1974-03-05,1979-05-04,,,,Q333616,Q332902,,,,,,Q333932-79F0E58B-4E64-4BB1-AD40-F45455709FA4
Q333406,John Nott,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",1979-05-04,1981-01-05,,,,Q332377,Q332691,,,,,,Q333406-76E26CEE-BE99-4B6A-A089-439479268FAB
Q333406,John Nott,Q2747647,Secretary of State for Defence,1981-01-05,1983-01-06,,,,Q332759,Q332314,,,,,,Q333406-A4C916AA-30B4-41CD-96F8-F9FFD5A5A916
Q6251908,John Parker,Q5449647,Financial Secretary to the Treasury,1846-07-07,1849-01-01,,,,Q334381,Q7529624,,,,,,Q6251908-00AADC9E-E9C7-4CE5-90F0-EEF07829963F
Q175162,"John Patten, Baron Patten",Q3477306,Secretary of State for Education,1992-04-10,1994-07-20,,,,Q271889,Q333058,,,,,,Q175162-FBE4A9D1-9717-4E06-ACD0-6C440DD14603
Q175162,"John Patten, Baron Patten",Q4122313,Secretary of State for the Environment,1985-09-02,1987-06-13,,,,Q1655520,Q332864,,,,,,Q175162-BFBC1444-2F31-4C16-92CD-2E10F0B21115
Q575513,John Penrose,Q108558652,Minister for Constitutional Reform,2015-05-11,2016-07-17,,,,Q392241,Q391526,,,,,,Q575513-BD0AF900-A0D5-4233-8FAF-D10E18353EBB
Q575513,John Penrose,Q104829980,"Minister of State, Northern Ireland",2018-11-16,2019-07-25,,,,Q267234,Q691299,,,,,,Q575513-4F4228AE-DBE7-41B2-AA2E-CBDE4090B7B4
Q575513,John Penrose,Q85792279,"Parliamentary Under Secretary of State for Arts, Heritage and Tourism",2010-05-13,2012-09-04,,,,Q688913,,,,,,,Q575513-731DC439-79B7-4306-99F8-FBF0F0177543
Q1701413,"John Peyton, Baron Peyton of Yeovil",Q6866025,"Minister of Agriculture, Fisheries and Food",,,,,,,,,,,,,Q1701413-247018F6-F640-422F-99FA-D0AA6FDCA006
Q1701413,"John Peyton, Baron Peyton of Yeovil",Q3246797,Secretary of State for Transport,1970-06-23,1970-10-15,,,,Q334362,Q333858,,,,,,Q1701413-5CA85ACE-7262-4E51-BEF4-0653C47C4427
Q335642,"John Pitt, 2nd Earl of Chatham",Q943379,Lord President of the Council,,,,,,Q1968514,Q157208,,,,,,Q335642-BFF6878D-0DFA-472F-BC57-7EE85664125C
Q335642,"John Pitt, 2nd Earl of Chatham",Q910308,Lord Privy Seal,1794-07-16,1798-02-14,,,,Q332521,Q5949661,,,,,,Q335642-a21af2af-4796-7f04-4a93-a54643f776e1
Q6253138,"John Ponsonby, 4th Earl of Bessborough",Q2484309,Home Secretary,1834-07-19,1834-11-15,,,,Q312567,Q131691,,,,,,Q6253138-40B16A4D-6EF0-4A1D-86C2-A13B1B8D12D4
Q6253138,"John Ponsonby, 4th Earl of Bessborough",Q910308,Lord Privy Seal,1835-04-23,1840-01-15,,,,Q6143797,Q335305,,,,,,Q6253138-BCF6564E-49D5-4AA2-8A41-BC87275371CA
Q6253333,John Pratt,Q531471,Chancellor of the Exchequer,1721-02-02,1721-04-03,,,,,,,,,,,Q6253333-2674c977-436c-3d18-ef33-2a3676dd2083
Q333418,"John Pratt, 1st Marquess Camden",Q943379,Lord President of the Council,1805-07-10,1806-02-19,,,,Q312577,Q8009134,,,,,,Q333418-36E6EAA5-96CB-4547-AA8D-A48A188C9786
Q332393,John Prescott,Q1507619,Deputy Prime Minister of the United Kingdom,1997-05-02,2007-06-27,,,,Q332314,Q189947,,,,,,Q332393-EAA0D60C-17A2-4499-8932-AF08E0804EA0
Q332393,John Prescott,Q3068024,First Secretary of State,2001-06-08,2007-06-27,,,,Q332314,Q310046,,,,,,Q332393-17518A3D-AE1F-4505-9E7C-B8F9AF94D9FE
Q332393,John Prescott,Q3246797,Secretary of State for Transport,1997-05-02,2001-06-08,,,,Q259836,Q332837,,,,,,Q332393-3815BAA4-02CC-427F-B068-E724895BC92C
Q332393,John Prescott,Q16974879,"Secretary of State for the Environment, Transport and the Regions",1997-05-02,2001-06-08,,,,Q333635,Q232639,,,,,,Q332393-913BCDBA-D43B-4566-8F7E-D9821B6A6A1B
Q7167529,John Pybus,Q3246797,Secretary of State for Transport,1931-09-03,1933-02-22,,,,Q335791,Q3497552,,,,,,Q7167529-A27F0FDA-CDE4-4195-AD34-BF23FA786672
Q6254150,"John Ramsay, 13th Earl of Dalhousie",Q111784,Secretary of State for Scotland,1886-04-05,1886-07-20,,,,Q333808,Q19008,,,,,,Q6254150-1FFC7BEB-FBEE-4F1C-A57D-D8C101A1D8F9
Q333846,John Redwood,Q1846384,Secretary of State for Wales,1993-05-27,1995-06-26,,,,Q333909,Q333909,,,,,,Q333846-1E055CC5-CCF1-4215-9F87-59D85D47C457
Q333846,John Redwood,Q4122313,Secretary of State for the Environment,1992-04-15,1993-05-27,,,,Q333525,Q338176,,,,,,Q333846-3D86729C-60C5-42CF-B958-315A5117D7D6
Q333461,"John Reid, Baron Reid of Cardowan",Q2484309,Home Secretary,2006-05-05,2007-06-28,,,,Q333758,Q237217,,,http://news.bbc.co.uk/1/hi/uk_politics/2916357.stm,,,Q333461-17246A05-DC60-415A-B1A6-6D8BCAB6D1B7
Q333461,"John Reid, Baron Reid of Cardowan",Q2636053,Leader of the House of Commons,2003-04-04,2003-06-13,,,,Q311214,Q333165,,,http://news.bbc.co.uk/1/hi/uk_politics/2916357.stm,,,Q333461-D3195ED4-C67A-4B6B-85BF-CF379EED4909
Q333461,"John Reid, Baron Reid of Cardowan",Q943379,Lord President of the Council,2003-04-04,2003-06-13,,,,Q311214,Q325417,,,,,,Q333461-492698CC-1ED4-48EC-B441-65465CD811E5
Q333461,"John Reid, Baron Reid of Cardowan",Q15109454,Minister of State for Transport,1998-07-27,1999-05-17,,,,Q333128,Q334128,,,,,,Q333461-52B4E4C9-32CA-4564-BF72-F5D21F71367D
Q333461,"John Reid, Baron Reid of Cardowan",Q6866379,Minister of State for the Armed Forces,1997-05-02,1998-07-27,,,,Q390192,Q5300550,,,,,,Q333461-F5BBF88B-5CED-4CA2-AD97-09B30F0912BB
Q333461,"John Reid, Baron Reid of Cardowan",Q2747647,Secretary of State for Defence,2005-05-06,2006-05-05,,,,Q332385,Q332587,,,http://news.bbc.co.uk/1/hi/uk_politics/2916357.stm,,,Q333461-5CADCFBB-3B5D-4577-BF75-9075400381D6
Q333461,"John Reid, Baron Reid of Cardowan",Q3397406,Secretary of State for Health and Social Care,2003-06-13,2005-05-06,,,,Q333459,Q332799,,,http://news.bbc.co.uk/1/hi/uk_politics/2916357.stm,,,Q333461-D268B5A4-8580-45CA-A61E-4AEACA486CCF
Q333461,"John Reid, Baron Reid of Cardowan",Q1369302,Secretary of State for Northern Ireland,2001-01-25,2002-10-24,,,13,Q310046,Q333828,,,http://news.bbc.co.uk/1/hi/uk_politics/2916357.stm,,,Q333461-468CDFA3-5FC6-463B-9BED-E8C5D95F4DEF
Q333461,"John Reid, Baron Reid of Cardowan",Q111784,Secretary of State for Scotland,1999-05-17,2001-01-25,,,,Q333158,Q334128,,,,,,Q333461-FBEAE0E9-445B-4808-A4FE-0BE84D1A3E1A
Q320851,"John Reith, 1st Baron Reith",Q3246797,Secretary of State for Transport,1940-05-14,1940-10-03,,,,Q5405305,Q336729,,,,,,Q320851-6A2D6EF5-D2AE-4D23-8C21-5900AA87E06D
Q6254926,John Rigby,Q2631987,Attorney General for England and Wales,1894-05-03,1894-10-24,,,,Q334027,Q3006661,,,,,,Q6254926-C5BBD684-9510-4B63-8F52-E4768DAC7CBD
Q6255053,"John Robartes, 1st Earl of Radnor",Q943379,Lord President of the Council,,,,,,Q336002,Q3827905,,,,,,Q6255053-B3565A2D-0832-43CF-B27E-BAB761654FDF
Q6255053,"John Robartes, 1st Earl of Radnor",Q910308,Lord Privy Seal,,,,,,,,,,,,,Q6255053-e1358ee2-4f94-ee76-4a70-890581a72af3
Q332915,John Robert Clynes,Q2484309,Home Secretary,1929-06-08,1931-08-26,,,,Q330604,Q335218,,,,,,Q332915-E78B8056-8511-41B5-90C6-ECE2B695FAAD
Q332915,John Robert Clynes,Q910308,Lord Privy Seal,1924-01-22,1924-11-06,,,,Q12702,Q4381482,,,,,,Q332915-7C87E49F-62EB-40E6-83A0-76344B6BBE2D
Q3951793,John Robinson,Q910308,Lord Privy Seal,1711-01-01,1713-01-01,,,,Q6239616,Q9374853,,,,,,Q3951793-7cc1ddee-498a-c25d-2d61-0257f909cbd9
Q6255522,John Rolt,Q2631987,Attorney General for England and Wales,1866-10-29,1867-07-18,,,,Q333804,Q6223903,,,,,,Q6255522-27b64e03-42c9-12c4-a8ec-f35caddc044c
Q157259,"John Russell, 1st Earl Russell",Q2484309,Home Secretary,1835-04-18,1839-08-30,,,,Q5722116,Q338153,,,,,,Q157259-E8F0C9B7-C152-4334-BB7A-78A0D77588FD
Q157259,"John Russell, 1st Earl Russell",Q2636053,Leader of the House of Commons,1835-04-18,1841-08-30,,,,Q181875,Q181875,,,,,,Q157259-3A6E5798-02C7-4D9C-BB66-A7C6BE00F22C
Q157259,"John Russell, 1st Earl Russell",Q2636053,Leader of the House of Commons,1846-06-30,1852-02-21,,,,Q181875,Q82006,,,,,,Q157259-19170BEE-192E-4892-9465-3851C8408686
Q157259,"John Russell, 1st Earl Russell",Q2636053,Leader of the House of Commons,1852-12-28,1855-01-30,,,,Q82006,Q193656,,,,,,Q157259-EFBA47E4-A69D-470F-8B34-7D02525AE8C6
Q157259,"John Russell, 1st Earl Russell",Q2012061,Leader of the House of Lords,1865-10-29,1866-06-26,,,,Q334053,Q237829,,,,,,Q157259-3120A13D-40F9-4B14-AA04-2C38C256330B
Q157259,"John Russell, 1st Earl Russell",Q943379,Lord President of the Council,1854-06-12,1855-02-08,,,,Q334053,,,,,,,Q157259-6E7EE1DF-59E3-40CA-BA78-D43AF9A08CD3
Q157259,"John Russell, 1st Earl Russell",Q14211,Prime Minister of the United Kingdom,1846-06-30,1852-02-23,,,,Q181875,Q237829,,,,,,Q157259-db1a5f45-4793-ae4c-4099-19924055fa56
Q157259,"John Russell, 1st Earl Russell",Q14211,Prime Minister of the United Kingdom,1865-10-29,1866-06-28,,,,Q193656,Q237829,,,,,,Q157259-a0bbed00-4f9d-99e4-d10b-6d13d37ca465
Q157259,"John Russell, 1st Earl Russell",Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1859-06-18,1865-11-03,,,,Q321003,Q335305,,,,,,Q157259-084CE94D-44C8-4385-8819-4080DD77C8AF
Q745977,"John Russell, 1st Earl of Bedford",Q910308,Lord Privy Seal,1542-01-01,1555-01-01,,,,Q8009101,Q1245756,,,,,,Q745977-F71FD9B6-98A3-4FDF-8ACC-7FD2AF94B167
Q335406,"John Russell, 4th Duke of Bedford",Q943379,Lord President of the Council,1763-09-09,1765-07-12,,,,Q335274,Q5217140,,,,,,Q335406-CC8109B7-5694-47A9-B188-0CF5D2709B37
Q335406,"John Russell, 4th Duke of Bedford",Q910308,Lord Privy Seal,1761-11-25,1763-04-22,,,,Q2041357,Q335825,,,,,,Q335406-FC07FFFE-23E1-4628-BD21-D219C9027155
Q6256605,John Sandale,Q531471,Chancellor of the Exchequer,1307-08-28,1308-05-28,,,,,,,,,,,Q6256605-a6654701-43ba-c750-328d-74110795eb95
Q6256664,"John Sankey, 1st Viscount Sankey",Q217217,Lord Chancellor,1929-06-07,1935-06-07,,,,Q332706,Q332706,,,,,,Q6256664-3B8EF4AD-A391-4CB4-B8EC-74A2A9788C15
Q337737,"John Scott, 1st Earl of Eldon",Q217217,Lord Chancellor,1801-01-01,1806-01-01,,,,Q4720351,Q332672,,,,,,Q337737-C128AA1B-692B-4D1A-93C5-2FD5ECFFDC07
Q337737,"John Scott, 1st Earl of Eldon",Q217217,Lord Chancellor,1801-04-14,1806-02-07,,,,Q4720351,Q332672,,,,,,Q337737-BC711F1A-A6E3-45DA-97A8-A8D765645BE3
Q337737,"John Scott, 1st Earl of Eldon",Q217217,Lord Chancellor,1807-04-01,1827-04-12,,,,Q332672,Q333136,,,,,,Q337737-93DF4048-FEEA-4890-8057-61400343D578
Q6257470,John Shaw-Lefevre,Q7883051,Under-Secretary of State for War and the Colonies,,,,,,,,,,,,,Q6257470-e943c02e-4066-6dd2-4562-e7cd3e2593a2
Q2736244,"John Sheffield, 1st Duke of Buckingham and Normanby",Q910308,Lord Privy Seal,1702-01-01,1705-01-01,,,,Q5467797,Q6239616,,,,,,Q2736244-ee382676-4dd0-16d7-4f2a-f73ab5739963
